tag	spcode	x	y	dbh1	dbh2	dbh3	recr1	recr2	recr3	pom1	pom2	pom3	code1	code2	code3	mult1	mult2	mult3	date1	date2	date3
000845	CLAVME	3.7	175.3	30	29	29	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000846	CLAVME	3.2	175.9	15	16	0	A	A	B	1	1	2	*	*	R	1	1	1	11/15/1994	11/21/1997	12/02/1998
000847	SOROAF	0.2	175.3	25	27	27	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000848	HEISCO	4.5	179.0	71	75	78	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000849	SOROAF	8.6	175.9	10	12	14	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000850	SOROAF	5.9	177.5	10	11	11	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000851	EUGEPR	9.8	178.7	24	26	26	A	A	A	1	1	1	M	M	M	2	2	2	11/15/1994	11/21/1997	12/02/1998
000852	HEISCO	9.4	176.5	13	20	23	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000853	SOROAF	9.6	171.0	29	28	29	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000854	HEISCO	7.4	170.3	15	23	25	A	A	A	1	2	2	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000855	SOROAF	6.2	170.6	11	12	12	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000856	CLAVME	5.3	172.2	14	15	15	A	A	A	1	1	1	*	*	M	1	1	2	11/15/1994	11/21/1997	12/02/1998
000857	ANACEX	6.8	173.8	690	582	580	A	A	A	1	1	1	B	B	B	1	1	1	11/15/1994	11/21/1997	12/02/1998
000858	PROTTE	9.2	165.1	11	14	14	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000859	FARAOC	7.0	165.4	12	15	15	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000860	PROTTE	6.7	165.2	13	15	15	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000861	CLAVME	5.9	167.6	13	14	15	A	A	A	1	2	2	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000862	CLAVME	6.5	167.5	10	11	10	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000863	CLAVME	7.2	167.4	19	19	19	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000864	CLAVME	7.2	168.1	13	11	12	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000865	HEISCO	8.0	168.0	12	19	19	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000866	SOROAF	8.3	169.8	43	46	46	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000867	ANDIIN	9.8	168.8	118	137	138	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000868	CAVAPL	9.6	168.0	858	879	880	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000869	PROTTE	9.9	161.2	12	15	16	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000870	TRI2PL	5.4	161.0	108	125	110	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000871	CHR2CA	5.2	163.0	167	170	170	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000872	FARAOC	6.2	162.8	29	28	28	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000873	TRI2PL	7.4	162.8	127	140	144	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000874	EUGEPR	9.3	163.6	11	11	12	A	A	A	1	1	1	L	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000875	FARAOC	14.2	160.2	14	19	20	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000876	POUTCA	10.7	161.0	54	0	-1	A	B	D	1	2	0	Q	R	DS	1	-1	-1	11/15/1994	11/21/1997	12/02/1998
000877	SOROAF	10.4	161.6	22	22	22	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000878	FARAOC	11.3	162.5	43	44	44	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000879	FARAOC	10.8	163.1	56	58	58	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000880	EUGEPR	14.8	162.8	17	17	18	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000881	LACIAG	14.4	161.5	73	74	74	A	A	A	1	2	2	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000882	SWARS1	14.5	166.1	28	27	27	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000883	FARAOC	11.4	165.2	47	48	54	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000884	TRI2PL	11.0	165.7	129	135	130	A	A	A	1	2	3	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000885	FARAOC	11.6	166.4	45	47	49	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000886	PROTTE	11.0	169.5	10	11	0	A	A	B	1	1	2	*	L	R	1	1	1	11/15/1994	11/21/1997	12/02/1998
000887	HEISCO	13.7	171.6	40	42	45	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000888	FARAOC	11.7	170.5	45	52	54	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000889	HEISCO	12.0	174.5	18	24	25	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000890	PROTTE	12.5	173.8	72	78	79	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000891	OENOMA	11.8	173.4	63	64	0	A	A	B	1	1	2	*	*	R	1	1	1	11/15/1994	11/21/1997	12/02/1998
000892	BROSAL	13.9	175.4	52	53	53	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000893	PROTTE	12.3	176.1	13	15	15	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000894	AST2GR	10.8	179.2	25	-1	-1	A	D	D	1	0	0	*	DS	DC	1	-1	-1	11/15/1994	11/21/1997	12/02/1998
000895	JAC1CA	12.5	177.1	398	649	649	A	A	A	1	2	2	*	*	*	2	1	1	11/15/1994	11/21/1997	12/02/1998
000896	POSOLA	13.2	177.0	11	12	12	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000897	HEISCO	19.6	175.4	10	0	-1	A	B	D	1	2	0	*	R	DC	1	-1	-1	11/15/1994	11/21/1997	12/02/1998
000898	TRI2PL	17.4	175.5	118	119	120	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000899	CLAVME	16.3	177.0	13	14	13	A	A	A	1	1	1	*	*	L	1	1	1	11/15/1994	11/21/1997	12/02/1998
000900	HIRTRA	15.3	176.6	22	23	24	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000901	SOROAF	17.5	179.1	40	41	44	A	A	A	1	1	1	M	M	M	3	3	3	11/15/1994	11/21/1997	12/02/1998
000902	FARAOC	19.7	179.7	10	13	13	A	A	A	1	2	2	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000903	BROSAL	19.7	177.8	30	32	32	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000904	PROTTE	18.9	176.0	17	21	21	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000905	SOROAF	18.5	176.4	24	25	26	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000906	CLAVME	17.5	177.5	18	18	18	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000907	SOROAF	18.7	171.1	26	28	28	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000908	OURALU	17.5	171.1	10	12	13	A	A	A	1	2	2	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000909	CLAVME	16.5	172.2	31	52	40	A	A	A	1	2	2	M	*	*	2	1	1	11/15/1994	11/21/1997	12/02/1998
000910	INGAFA	17.8	174.1	43	43	-1	A	A	D	1	2	0	*	*	DS	1	1	-1	11/15/1994	11/21/1997	12/02/1998
000911	FARAOC	19.9	173.9	40	-1	-1	A	D	D	1	0	0	*	DC	DC	1	-1	-1	11/15/1994	11/21/1997	12/02/1998
000912	HEISCO	19.9	174.8	19	25	27	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000913	HEISCO	17.0	166.5	70	77	80	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000914	BROSAL	16.3	166.0	25	27	27	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000915	PROTTE	15.4	165.9	12	12	13	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000916	PIT1RU	16.9	168.3	23	22	-1	A	A	D	1	2	0	*	*	DS	1	1	-1	11/15/1994	11/21/1997	12/02/1998
000917	SOROAF	15.8	169.2	20	20	20	A	A	A	1	1	1	M	M	M	2	2	2	11/15/1994	11/21/1997	12/02/1998
000918	BROSAL	15.7	169.5	24	25	26	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000919	AST2GR	17.3	169.7	12	0	0	A	B	B	1	2	2	*	R	*	1	-1	1	11/15/1994	11/21/1997	12/02/1998
000920	TRI2PL	18.7	169.9	109	109	109	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000921	INGAFA	18.7	169.6	45	48	46	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000922	INGAFA	19.3	168.7	49	50	-1	A	A	D	1	2	0	*	*	DS	1	1	-1	11/15/1994	11/21/1997	12/02/1998
000923	CEDROD	19.3	167.7	582	570	585	A	A	A	1	2	2	*	B	B	1	1	1	11/15/1994	11/21/1997	12/02/1998
000924	TRI2PL	17.5	160.3	123	131	131	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000925	EUGEPR	17.5	163.3	18	14	14	A	A	A	1	2	2	M	M	M	2	2	2	11/15/1994	11/21/1997	12/02/1998
000926	POSOLA	18.0	163.7	16	16	16	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000927	ANTITR	0.2	182.0	329	335	330	A	A	A	1	1	1	M	M	M	2	2	2	11/16/1994	11/21/1997	12/03/1998
000928	HEISCO	4.5	183.4	52	58	60	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000929	SWARS1	3.6	186.1	89	89	90	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000930	SOROAF	5.2	191.2	40	39	42	A	A	A	1	1	1	M	M	M	2	2	2	11/16/1994	11/21/1997	12/03/1998
000931	PROTTE	4.0	191.2	20	22	22	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000932	SOROAF	2.9	191.0	16	19	20	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000933	SOROAF	2.7	191.9	15	17	18	A	A	A	1	1	1	*	M	M	1	2	2	11/16/1994	11/21/1997	12/03/1998
000934	SWARS1	2.4	191.8	19	19	21	A	A	A	1	1	1	*	L	L	1	1	1	11/16/1994	11/21/1997	12/03/1998
000935	SOROAF	2.9	192.8	17	18	18	A	A	A	1	1	1	L	L	L	1	1	1	11/16/1994	11/21/1997	12/03/1998
000936	SWARS1	1.5	192.0	16	19	20	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000937	SOROAF	2.2	193.4	25	28	29	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000938	SOROAF	3.6	193.4	22	26	26	A	A	A	1	2	2	M	R	*	3	1	1	11/16/1994	11/21/1997	12/03/1998
000939	SWARS1	4.0	193.2	19	23	23	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000940	PROTTE	2.7	196.2	21	0	0	A	B	B	1	2	2	*	R	*	1	-1	1	11/16/1994	11/21/1997	12/03/1998
000941	HEISCO	9.7	195.5	175	185	192	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000942	PROTTE	9.0	195.2	15	19	21	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000943	ANACEX	5.3	195.7	977	1040	1039	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000944	IXORFL	5.1	199.8	43	43	44	A	A	A	1	1	1	M	M	M	3	3	3	11/16/1994	11/21/1997	12/03/1998
000945	POSOLA	5.3	199.9	33	37	40	A	A	A	1	1	1	*	M	M	1	2	2	11/16/1994	11/21/1997	12/03/1998
000946	CHR2CA	13.5	110.0	10	10	10	A	A	A	1	1	1	*	R	*	1	1	1	11/14/1994	11/19/1997	12/01/1998
000947	SOROAF	9.9	196.7	10	10	0	A	A	B	1	1	2	*	*	R	1	1	1	11/16/1994	11/21/1997	12/03/1998
000948	PROTTE	8.3	195.8	24	24	24	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000949	ANACEX	6.7	191.0	653	691	694	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000950	SOROAF	7.1	192.2	66	67	69	A	A	A	1	1	1	*	M	M	2	2	2	11/16/1994	11/21/1997	12/03/1998
000951	ACALDI	16.7	17.7	23	38	40	A	A	A	1	1	1	*	*	*	1	1	1	11/02/1994	11/11/1997	11/23/1998
000952	EUGEPR	8.7	189.5	19	20	21	A	A	A	1	1	1	L	L	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000953	TRI2PL	14.4	168.5	57	60	60	A	A	A	1	1	1	*	*	*	1	1	1	11/15/1994	11/21/1997	12/02/1998
000954	HIRTRA	9.4	189.4	17	17	17	A	A	A	1	1	1	ML	M	M	2	2	2	11/16/1994	11/21/1997	12/03/1998
000955	EUGEPR	9.4	187.9	15	15	15	A	A	A	1	1	1	*	*	*	2	1	1	11/16/1994	11/21/1997	12/03/1998
000956	EUGEPR	9.0	186.4	26	34	34	A	A	A	1	1	1	M	M	M	2	2	2	11/16/1994	11/21/1997	12/03/1998
000957	SWARS1	9.7	180.9	75	76	77	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000958	SWARS1	7.5	180.9	148	157	158	A	A	A	1	2	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000959	COU2CU	7.4	181.0	25	26	27	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000960	SOROAF	8.4	181.4	12	12	13	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000961	INGAVE	14.2	180.7	20	19	20	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000962	SWARS1	13.4	180.8	14	15	17	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000963	HIRTAM	11.8	180.4	11	11	11	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000964	PROTTE	11.3	180.2	11	12	14	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000965	PROTTE	10.6	180.8	16	17	17	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000966	ANACEX	13.4	183.3	453	455	443	A	A	A	1	1	1	*	B	B	1	1	1	11/16/1994	11/21/1997	12/03/1998
000967	TRI2PL	12.8	183.4	134	137	137	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000968	TRI2PL	13.5	184.2	225	233	234	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000969	SOROAF	10.5	185.4	35	35	35	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000970	COCCPA	10.2	188.9	15	19	21	A	A	A	1	1	1	ML	M	M	2	2	2	11/16/1994	11/21/1997	12/03/1998
000971	PROTTE	12.2	188.8	28	35	37	A	A	A	1	1	2	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000972	SOROAF	13.3	189.5	21	22	22	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000973	PIPERE	13.7	190.7	28	26	27	A	A	A	1	2	2	*	R	*	2	1	1	11/16/1994	11/21/1997	12/03/1998
000974	FARAOC	12.5	190.3	34	42	43	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000975	ANNOHA	11.7	191.2	15	20	23	A	A	A	1	1	1	M	M	M	3	3	3	11/16/1994	11/21/1997	12/03/1998
000976	FARAOC	11.9	193.2	33	34	35	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000977	IXORFL	13.1	192.4	14	14	14	A	A	A	1	1	1	*	M	M	1	2	2	11/16/1994	11/21/1997	12/03/1998
000978	CLAVME	11.6	197.7	12	12	14	A	A	A	1	1	1	ML	M	*	2	2	1	11/16/1994	11/21/1997	12/03/1998
000979	TRI2PL	11.3	198.4	100	107	108	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000980	AST2GR	16.0	197.5	23	23	23	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000981	SOROAF	15.8	190.7	11	11	12	A	A	A	1	1	1	L	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000982	SWARS1	16.5	192.1	140	131	131	A	A	A	1	1	1	Q	*	Q	1	1	1	11/16/1994	11/21/1997	12/03/1998
000983	EUGEPR	19.4	186.2	29	27	28	A	A	A	1	1	1	M	M	M	3	3	3	11/16/1994	11/21/1997	12/03/1998
000984	FARAOC	15.8	185.7	14	20	22	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000985	FARAOC	16.0	186.3	50	52	53	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000986	ANACEX	16.3	189.3	430	450	454	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000987	TRIPCU	15.7	188.0	39	43	47	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000988	CHR2CA	17.8	189.7	14	18	19	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000989	ANNOHA	17.9	187.9	46	48	50	A	A	A	1	2	3	*	M	M	2	2	2	11/16/1994	11/21/1997	12/03/1998
000990	FARAOC	19.5	180.4	31	35	37	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000991	NEEADE	17.3	181.6	25	26	26	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000992	TRI2PL	16.0	181.3	115	116	116	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000993	ANACEX	18.5	183.5	863	865	886	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000994	CUPASY	19.5	183.5	36	37	41	A	A	A	1	1	1	M	M	M	2	2	2	11/16/1994	11/21/1997	12/03/1998
000995	HIRTRA	18.9	182.4	15	0	-1	A	B	D	1	2	0	*	R	DC	1	-1	-1	11/16/1994	11/21/1997	12/03/1998
000996	INGAFA	19.4	181.7	21	24	24	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/03/1998
000997	ALIBED	3.0	203.9	14	14	14	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
000998	HEISCO	4.3	205.3	103	108	109	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
000999	IXORFL	2.4	209.9	21	22	22	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001000	CASESY	3.4	212.1	42	43	43	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001001	LACIAG	3.0	211.6	26	27	27	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001002	FARAOC	1.8	211.6	31	33	35	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001003	SWARS1	0.3	211.8	176	180	188	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001004	SOROAF	0.6	213.2	17	17	18	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001005	SOROAF	1.9	213.1	19	19	20	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001006	SOROAF	4.2	213.5	24	24	24	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001007	PROTTE	0.6	216.4	152	155	155	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001008	FARAOC	0.1	216.8	75	76	76	A	A	A	1	1	1	M	M	M	2	2	2	11/16/1994	11/21/1997	12/04/1998
001009	SOROAF	0.6	218.0	27	27	27	A	A	A	1	1	1	ML	M	M	2	2	3	11/16/1994	11/21/1997	12/04/1998
001010	ANACEX	1.1	218.9	678	690	700	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001011	NEEADE	4.5	219.5	66	61	60	A	A	A	1	1	1	*	M	M	1	2	2	11/16/1994	11/21/1997	12/04/1998
001012	BROSAL	2.6	217.0	40	43	43	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001013	SOROAF	8.2	216.5	24	25	25	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001014	SOROAF	5.7	215.1	22	22	22	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001015	SOROAF	10.0	219.0	25	27	27	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001016	LACIAG	9.2	218.3	48	52	52	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001017	PROTTE	9.3	210.5	106	109	112	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001018	SOROAF	5.7	213.8	38	41	41	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001019	SOROAF	7.2	214.4	29	29	29	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001020	SOROAF	9.2	206.1	38	41	41	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001021	THEVAH	8.5	209.5	13	14	14	A	A	A	1	2	2	*	ML	M	1	2	2	11/16/1994	11/21/1997	12/04/1998
001022	FARAOC	8.8	209.0	20	19	20	A	A	A	1	1	1	*	L	ML	1	1	2	11/16/1994	11/21/1997	12/04/1998
001023	SOROAF	9.6	206.9	21	19	19	A	A	A	1	1	1	M	M	M	3	2	2	11/16/1994	11/21/1997	12/04/1998
001024	SOROAF	8.4	200.9	30	35	38	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001025	CUPASY	7.8	202.3	22	0	0	A	B	B	1	2	2	*	R	*	1	-1	1	11/16/1994	11/21/1997	12/04/1998
001026	PROTTE	5.4	204.7	191	190	197	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001027	HEISCO	8.9	204.2	12	16	18	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001028	PROTTE	8.4	203.8	120	-9	165	A	*	A	1	0	2	*	*	*	1	-9	1	11/16/1994	11/21/1997	12/04/1998
001029	BROSAL	9.0	202.3	15	16	16	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001030	PROTTE	14.1	200.4	24	25	29	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001031	SOROAF	10.6	200.8	24	29	31	A	A	A	1	1	1	M	M	M	2	2	2	11/16/1994	11/21/1997	12/04/1998
001032	SOROAF	10.1	202.0	19	23	23	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001033	PICRLA	11.9	204.1	22	21	22	A	A	A	1	1	1	M	M	M	2	2	2	11/16/1994	11/21/1997	12/04/1998
001034	SOROAF	14.8	204.3	17	21	21	A	A	A	1	1	1	M	M	M	2	2	2	11/16/1994	11/21/1997	12/04/1998
001035	SOROAF	13.9	203.7	16	19	19	A	A	A	1	1	1	M	M	M	2	2	2	11/16/1994	11/21/1997	12/04/1998
001036	GUARGL	14.8	201.7	22	26	26	A	A	A	1	1	1	*	*	L	1	1	1	11/16/1994	11/21/1997	12/04/1998
001037	ALIBED	14.7	201.0	18	17	18	A	A	A	1	1	1	*	*	L	1	1	1	11/16/1994	11/21/1997	12/04/1998
001038	STYLST	13.9	206.4	18	17	18	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001039	SOROAF	13.6	206.3	20	23	24	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001040	SOROAF	12.6	205.9	25	29	30	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001041	BROSAL	12.0	206.3	20	20	21	A	A	A	1	2	2	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001042	ALIBED	11.7	207.1	15	15	15	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001043	SOROAF	11.6	207.5	23	27	27	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001044	EUGEPR	11.1	207.2	15	16	15	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001045	COU2CU	11.2	207.5	39	42	42	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001046	LACIAG	11.3	207.9	72	71	75	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
001047	SOROAF	14.1	208.5	29	34	35	A	A	A	1	1	1	*	*	*	1	1	1	11/16/1994	11/21/1997	12/04/1998
